Number of Records,created_at (@realDonaldTrump's Tweets),favorite_count (@realDonaldTrump's Tweets),id_str (@realDonaldTrump's Tweets),in_reply_to_screen_name (@realDonaldTrump's Tweets),in_reply_to_status_id_str (@realDonaldTrump's Tweets),is_retweet (@realDonaldTrump's Tweets),lang (@realDonaldTrump's Tweets),retweet_count (@realDonaldTrump's Tweets),source (@realDonaldTrump's Tweets),text (@realDonaldTrump's Tweets)
1,10/12/2017 6:17:40 PM,68475,918541193037967361,,,false,en,15679,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","We need a tax system that is FAIR to working FAMILIES &amp; that encourages companies to STAY in AMERICA, GROW in AMERI… https://t.co/JshQ8cLMS3"
1,10/12/2017 8:19:32 PM,50252,918571860308254720,,,false,en,11041,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Happy #NationalFarmersDay!
📸https://t.co/dN39R1IMlA https://t.co/QbUG1pztaI"
1,10/13/2017 12:12:59 AM,87711,918630610167529472,,,false,en,22431,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",People are just now starting to find out how dishonest and disgusting (FakeNews) @NBCNews is. Viewers beware. May be worse than even @CNN!
1,10/13/2017 1:18:23 AM,68892,918647067224035334,,,false,en,16564,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","It is time to take care of OUR COUNTRY, to rebuild OUR COMMUNITIES, and to protect our GREAT AMERICAN WORKERS!… https://t.co/YpEA52VOkd"
1,10/13/2017 9:36:54 AM,64180,918772522983874561,,,false,en,14206,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",The Democrats ObamaCare is imploding. Massive subsidy payments to their pet insurance companies has stopped. Dems should call me to fix!
1,10/13/2017 11:07:39 AM,0,918795362122465280,,,true,en,15679,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @billoreilly: A free press is vital to protecting all Americans. A corrupt press damages the Republic.
1,10/13/2017 11:10:30 AM,51764,918796079243677696,,,false,en,11898,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sadly, they and others are Fake News, and the public is just beginning to figure it out! https://t.co/8B8AyA7V1s"
1,10/13/2017 11:14:12 AM,76202,918797009133465600,,,false,en,15492,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ObamaCare is a broken mess. Piece by piece we will now begin the process of giving America the great HealthCare it deserves!
1,10/13/2017 11:51:30 AM,93137,918806396875010048,,,false,en,22911,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hard to believe that the Democrats, who have gone so far LEFT that they are no longer recognizable, are fighting so hard for Sanctuary crime"
1,10/13/2017 12:01:02 PM,63388,918808798059483136,,,false,en,11968,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The wonderful people of Puerto Rico, with their unmatched spirit, know how bad things were before the H's. I will always be with them!"
1,10/13/2017 4:30:28 PM,73290,918876603148652544,,,false,en,16739,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I have no greater privilege than to serve as your Commander-in-Chief. HAPPY BIRTHDAY to the incredible men and wome… https://t.co/cxkez6oPXx
1,10/13/2017 5:07:15 PM,80183,918885859230875649,,,false,en,21222,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","In America, we don't worship government - we worship God. 
#ValuesVotersSummit https://t.co/YQ3iDlWylK"
1,10/13/2017 5:41:36 PM,48822,918894502185787392,,,false,en,11463,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","""Consumer confidence soars to highest level since 2004""
📈https://t.co/RvxCPAFI2A https://t.co/U8MS9K45fX"
1,10/13/2017 6:09:00 PM,66721,918901399080935424,,,false,en,17654,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Today, I announced our strategy to confront the Iranian regime’s hostile actions and to ensure that they never acqu… https://t.co/nKOKERavGW"
1,10/13/2017 10:01:57 PM,41552,918960024256434176,,,false,und,10682,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",#WeeklyAddress🇺🇸 https://t.co/riqEiBNwk2
1,10/14/2017 12:53:59 AM,69992,919003314674634752,,,false,en,14121,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Starting to develop a much better relationship with Pakistan and its leaders. I want to thank them for their cooperation on many fronts.
1,10/14/2017 1:02:48 AM,54419,919005534883328000,,,false,en,11346,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Many people talking, with much agreement, on my Iran speech today. Participants in the deal are making lots of money on trade with Iran!"
1,10/14/2017 1:10:55 AM,69088,919007577681354752,,,false,en,15926,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Money pouring into Insurance Companies profits, under the guise of ObamaCare, is over. They have made a fortune.
Dems must get smart &amp; deal!"
1,10/14/2017 1:17:54 AM,61368,919009334016856065,,,false,en,12434,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ObamaCare is causing such grief and tragedy for so many. It is being dismantled but in the meantime, premiums &amp; deductibles are way up!"
1,10/14/2017 1:31:20 AM,68363,919012714827145216,,,false,en,16087,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Such a wonderful statement from the great @LouDobbs. ""We take up what may be the most accomplished presidency in modern American history."""
1,10/14/2017 11:08:00 AM,0,919157838106300416,,,true,en,5183,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @RightlyNews: @realDonaldTrump @LouDobbs It is NOT a coincidence that the economy boomed immediately after the 2016 election.
1,10/14/2017 11:08:32 AM,0,919157971627724800,,,true,en,7005,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @RightlyNews: @realDonaldTrump @LouDobbs Trust in the media is at the lowest level in all of U.S. history. The American people see throu…
1,10/14/2017 11:12:16 AM,0,919158911164444672,,,true,en,11463,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @realDonaldTrump: ""Consumer confidence soars to highest level since 2004""
📈https://t.co/RvxCPAFI2A https://t.co/U8MS9K45fX"
1,10/14/2017 11:18:49 AM,84334,919160558712172544,,,false,en,18468,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Health Insurance stocks, which have gone through the roof during the ObamaCare years, plunged yesterday after I ended their Dems windfall!"
1,10/14/2017 11:27:00 AM,118408,919162619889704961,,,false,en,22853,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Very proud of my Executive Order which will allow greatly expanded access and far lower costs for HealthCare. Millions of people benefit!
1,10/14/2017 9:27:22 PM,71186,919313707355787264,,,false,en,16077,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",The Democrats in the Southwest part of Virginia have been abandoned by their Party. Republican Ed Gillespie will never let you down!
1,10/14/2017 9:28:34 PM,0,919314010587230208,,,true,en,8023,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @mike_pence: We are heading to Virginia. Looking forward to supporting my friend @EdWGillespie. He will make a great Governor for the Co…
